model,episode,t,prior_residual,prior_position_residual,prior_velocity_residual,dim0_residual,dim1_residual,dim2_residual,dim3_residual,dim4_residual,dim5_residual,dim6_residual,dim7_residual,dim8_residual,dim9_residual,dim10_residual,dim11_residual,dim12_residual,dim13_residual,dim14_residual,dim15_residual,dim16_residual,dim17_residual
tssm,204,323,1.0351557731628418,0.039978839457035065,1.4633852243423462,0.005527094006538391,0.062375880777835846,0.007886901497840881,0.04082166403532028,0.015478774905204773,0.08507141470909119,0.034043826162815094,0.009767930954694748,0.0019298344850540161,0.85285484790802,1.1030397415161133,1.6190741062164307,0.7629393339157104,0.6954532861709595,3.6072421073913574,0.793380856513977,0.023016411811113358,0.009950481355190277
tssm,204,324,0.5661407709121704,0.021478785201907158,0.8003557920455933,0.004267700016498566,0.04014753922820091,0.027418553829193115,0.01324525848031044,0.03072071075439453,0.020360127091407776,0.007899180054664612,0.012909121811389923,0.0027299150824546814,0.28725767135620117,0.14906442165374756,1.0082201957702637,0.5005995035171509,0.27635353803634644,2.0752694606781006,0.09649658203125,0.022129876539111137,0.019073009490966797
tssm,204,325,0.9682691097259521,0.027730735018849373,1.369058609008789,0.026425614953041077,0.007327696308493614,0.012081854045391083,0.00899086520075798,0.013088922947645187,0.07538740336894989,0.00777609646320343,0.004941809922456741,0.0016304627060890198,2.171121120452881,0.25141918659210205,2.3055686950683594,0.8544937372207642,0.47093796730041504,2.2392499446868896,0.9000161290168762,0.0007404168136417866,0.007362939417362213
tssm,204,326,0.6614455580711365,0.021549226716160774,0.9351770281791687,0.00623127818107605,0.04342877119779587,0.01672329753637314,0.031492285430431366,0.008639506995677948,0.025328077375888824,0.015604853630065918,0.004817314445972443,0.00036422163248062134,0.4408460855484009,0.524347186088562,0.10238504409790039,0.5726218223571777,0.06898927688598633,2.5450963973999023,0.762192964553833,0.00589918764308095,0.009647615253925323
tssm,204,327,0.7011725902557373,0.022116217762231827,0.991361141204834,0.038580670952796936,0.009863683953881264,0.012901978567242622,0.050045743584632874,0.005484253168106079,0.00041348114609718323,0.0014448650181293488,0.010629817843437195,0.00012997165322303772,1.9931269884109497,0.5575664043426514,1.3255724906921387,0.094207763671875,1.1785234212875366,1.0700798034667969,0.5115852355957031,0.0018505202606320381,0.0029389027040451765
tssm,204,328,0.36358821392059326,0.013656748458743095,0.5140100121498108,0.014417648315429688,0.013626433908939362,0.012430556118488312,0.029091954231262207,0.011228978633880615,0.0026228949427604675,0.004711400717496872,0.009292535483837128,0.0065294913947582245,0.6932004690170288,0.6926550269126892,0.18749618530273438,0.15215778350830078,0.34934818744659424,1.108902931213379,0.08646941184997559,0.007256362587213516,0.0034810416400432587
tssm,204,329,0.2759454846382141,0.017827901989221573,0.38983842730522156,0.00047294050455093384,0.015860237181186676,0.014123141765594482,0.04718008637428284,0.005158901214599609,0.010817006230354309,0.0019168779253959656,0.004499237984418869,0.0039714910089969635,0.3689839839935303,0.6966567039489746,0.21934419870376587,0.7689518928527832,0.2706167697906494,0.05717206001281738,0.1737518310546875,0.013786534778773785,0.002314813667908311
tssm,204,330,1.0231796503067017,0.03179185464978218,1.4466452598571777,0.07251912355422974,0.04560292512178421,0.017911165952682495,0.025339066982269287,0.0061469972133636475,0.007484316825866699,0.02549280971288681,0.006457962095737457,0.0030953697860240936,0.7560980319976807,1.1912426948547363,0.7470664978027344,2.8154921531677246,2.4733879566192627,0.969914436340332,1.1400755643844604,0.026457298547029495,0.01845443807542324
tssm,204,331,0.49128854274749756,0.03326161950826645,0.6939902901649475,0.03908123821020126,0.05220979452133179,0.006163662299513817,0.05576246976852417,0.016020983457565308,0.01574556529521942,0.04463078826665878,0.007066849619150162,0.003150634467601776,1.9131247997283936,0.08600735664367676,0.4535188674926758,0.287442684173584,0.3898921012878418,0.13828277587890625,0.45436111092567444,0.004029672592878342,0.0354648157954216
tssm,204,332,1.9208261966705322,0.0344872772693634,2.7162394523620605,0.011462442576885223,0.0705120638012886,0.0023570992052555084,0.05403001606464386,0.047050200402736664,0.003504756838083267,0.010011070407927036,0.018502436578273773,0.0027654655277729034,1.9804898500442505,2.0843896865844727,1.7205142974853516,0.1325148344039917,4.614489555358887,5.259587287902832,2.489898920059204,0.015501610934734344,0.015875549986958504
